ie_cliente,id,createdby,responsible,datecreated,name,cnpj,socialprofiles,picture,domain,primaryemail,primaryphone,phones,emails,source,origin,notes,employees,projects,projectparticipants,activities,deals,dealparticipants,entitycustomfields
2,6318846,"{""id"": 85354}","{""id"": 85354}",2022-12-27 18:32:51,Name - 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20718203}}, {""contact"": {""id"": 20716509}}]",0.0,0.0,0,"[{""id"": 27756434}]",0.0,[]
2,6320466,"{""id"": 85354}","{""id"": 85354}",2022-12-28 12:50:08,Name - 65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 20726398}}]",0.0,0.0,0,0,0.0,[]
2,6383990,"{""id"": 85354}","{""id"": 85354}",2023-01-12 16:35:26,Name - 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 20981118}}]",0.0,0.0,0,0,0.0,[]
2,6411802,"{""id"": 85354}","{""id"": 85354}",2023-01-18 15:33:05,Name - 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 21087926}}]",0.0,0.0,0,[],0.0,[]
2,6415328,"{""id"": 85354}","{""id"": 85354}",2023-01-19 13:14:54,Name - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 21105625}}]",0.0,0.0,0,[],0.0,[]
2,6474903,"{""id"": 85354}","{""id"": 85354}",2023-02-01 12:00:34,Name - 72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 21377373}}]",0.0,0.0,0,[],0.0,[]
2,6585959,"{""id"": 85354}","{""id"": 85354}",2023-02-22 01:50:11,Name - 69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 21841946}}]",0.0,0.0,"[{""id"": 30757904}]","[{""id"": 21472827}]",0.0,[]
2,6625869,"{""id"": 85354}","{""id"": 85354}",2023-03-02 14:36:03,Name - 68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 22028656}}]",0.0,0.0,0,0,0.0,[]
2,6701230,"{""id"": 85354}","{""id"": 85354}",2023-03-14 20:31:30,Name - 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 22330341}}]",0.0,0.0,0,"[{""id"": 21996267}]",0.0,[]
2,6727732,"{""id"": 85354}","{""id"": 85354}",2023-03-20 12:35:30,Name - 62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 22409665}}]",0.0,0.0,"[{""id"": 31044734}, {""id"": 31045276}, {""id"": 31085537}, {""id"": 31085812}]","[{""id"": 22090253}, {""id"": 22090091}, {""id"": 22089887}, {""id"": 22090506}]",0.0,[]
2,6952926,"{""id"": 85354}","{""id"": 85354}",2023-04-28 20:56:47,Name - 70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 23321363}}]",0.0,0.0,0,"[{""id"": 28005221}]",0.0,[]
2,7166818,"{""id"": 85354}","{""id"": 85354}",2023-05-30 08:22:24,Name - 83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 23971039}}]",0.0,0.0,0,"[{""id"": 30832043}]",0.0,"[{""id"": ""CF_A4wMWKUzSJwwAMB8"", ""numericValue"": 13456988000140}]"
2,7415771,"{""id"": 99015}","{""id"": 99015}",2023-07-10 20:57:56,Name - 39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 24939036}}]",0.0,0.0,"[{""id"": 35717621}, {""id"": 36739559}]","[{""id"": 24533200}]",0.0,[]
2,7418031,"{""id"": 85354}","{""id"": 85354}",2023-07-11 13:34:09,Name - 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 24948004}}]",0.0,0.0,0,"[{""id"": 24542380}]",0.0,[]
2,7452229,"{""id"": 99015}","{""id"": 99015}",2023-07-18 14:20:30,Name - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 25089894}}, {""contact"": {""id"": 29844964}}]",0.0,0.0,"[{""id"": 35597656}, {""id"": 36741472}, {""id"": 43923786}, {""id"": 43923797}, {""id"": 43923813}, {""id"": 43923834}]","[{""id"": 24678828}, {""id"": 29658285}]",0.0,[]
2,7509635,"{""id"": 99015}","{""id"": 99015}",2023-07-25 15:04:52,Name - 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 25229452}}, {""contact"": {""id"": 25392918}}]",0.0,0.0,"[{""id"": 35366367}, {""id"": 35388459}, {""id"": 36521793}, {""id"": 38227305}, {""id"": 43987296}]","[{""id"": 24828132}]",0.0,[]
2,7522520,"{""id"": 99015}","{""id"": 99015}",2023-07-27 19:02:27,Name - 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 25284375}, ""jobTitle"": ""Arquiteta""}]",0.0,0.0,"[{""id"": 35479929}, {""id"": 36246181}, {""id"": 36561332}]","[{""id"": 24882839}]",0.0,[]
2,7522544,"{""id"": 99015}","{""id"": 99015}",2023-07-27 19:05:45,Name - 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 25284449}}]",0.0,0.0,"[{""id"": 35480314}, {""id"": 36621101}]","[{""id"": 24882907}]",0.0,[]
2,7559033,"{""id"": 99015}","{""id"": 99015}",2023-08-03 19:52:32,Name - 75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 21377368}}]",0.0,0.0,"[{""id"": 35757834}, {""id"": 36214646}]","[{""id"": 25009050}]",0.0,[]
2,7683783,"{""id"": 85354}","{""id"": 85354}",2023-08-24 14:55:50,Name - 76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,0,0.0,0.0,0,0,0.0,[]
2,7830717,"{""id"": 85354}","{""id"": 85354}",2023-09-15 18:35:14,Name - 41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 26167410}}]",0.0,0.0,"[{""id"": 37612515}, {""id"": 37612534}, {""id"": 37612564}, {""id"": 38036465}]","[{""id"": 25871123}]",0.0,[]
2,8271445,"{""id"": 85354}","{""id"": 85354}",2023-11-23 19:17:26,Name - 78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 27604654}}]",0.0,0.0,0,[],0.0,[]
2,8432559,"{""id"": 97502}","{""id"": 97502}",2023-12-19 20:02:07,Name - 53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,0,0.0,0.0,[],"[{""id"": 27916398}]",0.0,[]
2,8693727,"{""id"": 85354}","{""id"": 85354}",2024-02-02 13:07:56,Name - 80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 29026261}}]",0.0,0.0,"[{""id"": 42427439}, {""id"": 42427449}, {""id"": 42427491}, {""id"": 43759255}, {""id"": 46013546}]","[{""id"": 28811527}]",0.0,[]
2,8743158,"{""id"": 85354}","{""id"": 85354}",2024-02-09 15:05:16,Name - 49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 29162242}}]",0.0,0.0,"[{""id"": 42610883}]","[{""id"": 28961437}]",0.0,[]
2,8897556,"{""id"": 85354}","{""id"": 85354}",2024-03-05 15:54:10,Name - 47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 29629933}}]",0.0,0.0,0,"[{""id"": 29449648}]",0.0,[]
2,8961947,"{""id"": 99015}","{""id"": 99015}",2024-03-12 21:07:56,Name - 74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUAL,Moskit,0.0,"[{""contact"": {""id"": 29781631}}]",0.0,0.0,"[{""id"": 43986091}, {""id"": 43986109}, {""id"": 46464327}]","[{""id"": 29700336}]",0.0,[]
2,8999303,"{""id"": 85354}","{""id"": 85354}",2024-03-18 17:35:46,Name - 67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 29882911}}]",0.0,0.0,"[{""id"": 43982015}, {""id"": 43982026}, {""id"": 43982062}, {""id"": 45855066}]","[{""id"": 29698549}]",0.0,[]
2,9162680,"{""id"": 85354}","{""id"": 85354}",2024-04-08 21:02:50,Name - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30315216}}]",0.0,0.0,"[{""id"": 44868757}, {""id"": 44868760}, {""id"": 44868797}, {""id"": 46472026}]","[{""id"": 30206771}]",0.0,[]
2,9259052,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:53:32,Name - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 22418874}}]",0.0,0.0,0,0,0.0,[]
2,9259056,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:53:54,Name - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 29173196}}]",0.0,0.0,0,0,0.0,[]
2,9259069,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:55:47,Name - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 29460419}}]",0.0,0.0,0,0,0.0,[]
2,9259071,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:56:24,Name - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30591073}}]",0.0,0.0,0,"[{""id"": 30512166}]",0.0,[]
2,9259079,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:57:52,Name - 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30591138}}]",0.0,0.0,0,"[{""id"": 30512235}]",0.0,[]
2,9259083,"{""id"": 97502}","{""id"": 97502}",2024-04-22 17:58:23,Name - 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 29823636}}]",0.0,0.0,0,0,0.0,[]
2,9259110,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:01:46,Name - 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30591344}}]",0.0,0.0,0,"[{""id"": 30512470}]",0.0,[]
2,9259112,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:02:12,Name - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30591367}}]",0.0,0.0,0,"[{""id"": 30512497}]",0.0,[]
2,9259115,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:02:29,Name - 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30591385}}]",0.0,0.0,0,"[{""id"": 30512517}]",0.0,[]
