ie_cliente,id,title,createdby,responsible,doneuser,source,origin,donesource,datecreated,duedate,donedate,firsttry,lasttry,type,duration,totaltries,totaldays,notes,donenotes,contacts,deals,companies,projects,entitycustomfields
2,35715809,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T17:48:55.000+00:00,2023-08-03T17:48:00.000+00:00,2023-08-03T17:49:00.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24716353}]","[{""id"": 24313734}]",0,0,[]
2,35716330,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T17:54:33.000+00:00,2023-08-03T17:54:00.000+00:00,2023-08-03T17:54:41.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24697525}]","[{""id"": 24291323}]",0,0,[]
2,35717318,aolchat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T18:05:31.000+00:00,2023-08-03T18:05:00.000+00:00,2023-08-03T18:05:39.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24702653}]","[{""id"": 24297797}]",0,0,[]
2,35717507,retornor,"{""id"": 99015}","{""id"": 85354}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T18:07:42.000+00:00,2023-08-25T18:07:00.000+00:00,2023-08-30T19:36:06.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 24937106}]","[{""id"": 24530792}]",0,0,[]
2,35717621,Retorno Proposta,"{""id"": 99015}","{""id"": 85354}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T18:09:06.000+00:00,2023-08-25T18:08:00.000+00:00,2023-08-30T19:40:51.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 24939036}]","[{""id"": 24533200}]","[{""id"": 7415771}]",0,[]
2,35718284,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-03T18:16:46.000+00:00,2023-08-03T18:16:00.000+00:00,2023-08-03T18:16:52.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24681587}]","[{""id"": 24272943}]",0,0,[]
2,35725309,Retorno,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T19:31:23.000+00:00,2023-08-14T19:31:00.000+00:00,2023-08-14T20:12:16.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25075869}]","[{""id"": 24661818}]",0,0,[]
2,35725450,Retorno: projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T19:32:50.000+00:00,2023-08-18T19:32:00.000+00:00,2023-08-18T19:23:47.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25378328}]","[{""id"": 24990696}]",0,0,[]
2,35725507,Solicitat projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T19:33:26.000+00:00,2023-08-10T19:33:00.000+00:00,2023-08-10T20:43:37.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25388385}]","[{""id"": 25003079}]",0,0,[]
2,35725749,Enviar projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-03T19:36:22.000+00:00,2023-08-17T19:36:00.000+00:00,2023-08-17T19:32:11.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25390571}]","[{""id"": 25006527}]",0,0,[]
2,35740062,ligar,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-04T12:22:25.000+00:00,2023-08-04T12:22:00.000+00:00,2023-08-30T13:09:34.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24686147}]","[{""id"": 24278534}]",0,0,[]
2,35757756,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-04T17:04:55.000+00:00,2023-08-11T17:04:00.000+00:00,2023-08-31T16:15:33.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25393047}]","[{""id"": 25009410}]",0,0,[]
2,35757834,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-04T17:06:15.000+00:00,2023-08-16T17:05:00.000+00:00,2023-08-16T16:56:44.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 21377368}]","[{""id"": 25009050}]","[{""id"": 7559033}]",0,[]
2,35770039,Retorno,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-04T19:37:57.000+00:00,2023-08-18T19:37:00.000+00:00,2023-08-17T13:24:50.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25392918}]","[{""id"": 25008929}]",0,0,[]
2,35790194,projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-07T12:14:33.000+00:00,2023-08-07T19:00:00.000+00:00,2023-08-07T19:03:19.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25221025}]","[{""id"": 24819405}]",0,0,[]
2,35796007,Retorno: Solicitar projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-07T13:07:04.000+00:00,2023-08-07T19:00:00.000+00:00,2023-08-31T16:14:46.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25214893}]","[{""id"": 24814784}]",0,0,[]
2,35796261,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-07T13:08:55.000+00:00,2023-08-14T13:08:00.000+00:00,2023-08-14T13:03:31.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25399228}]","[{""id"": 25016330}]",0,0,[]
2,35801243,Retorno,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-07T13:49:34.000+00:00,2023-08-21T13:49:00.000+00:00,2023-08-21T13:40:52.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 24285326}]","[{""id"": 23807008}]",0,0,[]
2,35816768,projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-07T17:30:20.000+00:00,2023-08-14T20:00:00.000+00:00,2023-08-31T16:15:00.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25424013}]","[{""id"": 25044591}]",0,0,[]
2,35817173,projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-07T17:34:41.000+00:00,2023-08-14T20:00:00.000+00:00,2023-08-16T13:02:45.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25424343}]","[{""id"": 25044949}]",0,0,[]
2,35824710,Retorno projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-07T18:46:20.000+00:00,2023-08-23T18:46:00.000+00:00,2023-08-23T18:55:53.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25002380}]","[{""id"": 24578094}]",0,0,[]
2,35847420,Retorno: retorno projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-08T13:06:21.000+00:00,2023-08-16T19:00:00.000+00:00,2023-08-18T17:28:52.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25365447}]","[{""id"": 24978870}]",0,0,[]
2,35847514,Retorno cotação,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-08T13:07:27.000+00:00,2023-08-22T13:07:00.000+00:00,2023-08-22T13:22:51.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25406456}]","[{""id"": 25025427}]",0,0,[]
2,35848639,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-08T13:18:30.000+00:00,2023-08-08T18:00:00.000+00:00,2023-08-08T18:03:48.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25456115}]","[{""id"": 25078817}]",0,0,[]
2,35863924,Retorno: cobrar envio de projeto,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-08T16:51:37.000+00:00,2023-08-16T16:51:00.000+00:00,2023-08-16T16:43:53.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 24988459}]","[{""id"": 24562471}]",0,0,[]
2,35874288,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-08T18:49:27.000+00:00,2023-08-16T18:37:00.000+00:00,2023-08-25T14:44:00.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25452542}]","[{""id"": 25074596}]",0,0,[]
